Region,Grade,Sample Name,Absorbance,Concentration
Dimbula Region,BOP,DIM_BOP_002,0.389,38.3793103
Dimbula Region,BOP,DIM_BOP_004,0.373,37
Dimbula Region,BOP,DIM_BOP_006,0.5415,51.5258621
Dimbula Region,BOP,DIM_BOP_009,0.4715,45.4913793
Dimbula Region,DUST,DIM_DUST_001,0.2565,26.9568966
Dimbula Region,DUST,DIM_DUST_004,0.236,25.1896552
Dimbula Region,DUST,DIM_DUST_006,0.2865,29.5431034
Dimbula Region,DUST,DIM_DUST_008,0.2565,26.9568966
Dimbula Region,DUST,DIM_DUST_010,0.283,29.2413793
Dimbula Region,DUST,DIM_DUST_013,0.2035,22.387931
Ruhuna Region,OP,RU_OP_001,0.435,42.3448276
Ruhuna Region,OP,RU_OP_002,0.291,29.9310345
Ruhuna Region,OP,RU_OP_003,0.373,37
Ruhuna Region,OP,RU_OP_004,0.475,45.7931034
Ruhuna Region,OP,RU_OP_005,0.259,27.1724138
Ruhuna Region,OP,RU_OP_006,0.435,42.3448276
Ruhuna Region,OP,RU_OP_007,0.2425,25.75
Ruhuna Region,OP,RU_OP_008,0.3825,37.8189655
Ruhuna Region,OP,RU_OP_009,0.415,40.6206897
Ruhuna Region,OP,RU_OP_010,0.331,33.3793103
Sabaragamuwa Region,BOPF,SB_BOPF_001,0.346,36.02727273
Sabaragamuwa Region,BOPF,SB_BOPF_002,0.413,42.11818182
Sabaragamuwa Region,BOPF,SB_BOPF_003,0.276,29.66363636
Sabaragamuwa Region,BOPF,SB_BOPF_004,0.293,31.20909091
Sabaragamuwa Region,BOPF,SB_BOPF_005,0.297,31.57272727
Sabaragamuwa Region,BOPF,SB_BOPF_006,0.36,37.3
Sabaragamuwa Region,BOPF,SB_BOPF_007,0.33,34.57272727
Sabaragamuwa Region,BOPF,SB_BOPF_008,0.359,37.20909091
Sabaragamuwa Region,BOPF,SB_BOPF_009,0.316,33.3
Sabaragamuwa Region,BOPF,SB_BOPF_010,0.348,36.20909091
