Region,Grade,Sample Name,Absorbance,Concentration,Dry matter content,Caffiene Content
Dimbula Region,BOP,DIM_BOP_001,0.264,15.12,96,447.48
Dimbula Region,BOP,DIM_BOP_002,0.389,21.67,94.22,306.27
Dimbula Region,BOP,DIM_BOP_003,0.448,24.69,93.95,623.99
Dimbula Region,BOP,DIM_BOP_004,0.357,19.78,95.57,600.22
Dimbula Region,BOP,DIM_BOP_005,0.173,10.36,98.76,656.63
Dimbula Region,BOP,DIM_BOP_006,0.294,16.92,94.2,616.79
Dimbula Region,BOP,DIM_BOP_007,0.222,13.24,94.66,549.06
Dimbula Region,BOP,DIM_BOP_008,0.306,17.46,94.5,458.29
Dimbula Region,BOP,DIM_BOP_009,0.3,16.8,96.55,673.7
Dimbula Region,BOP,DIM_BOP_010,0.278,16.39,92.63,631.92
Dimbula Region,DUST,DIM_DUST_001,0.257,15.61,90.74,637.68
Dimbula Region,DUST,DIM_DUST_002,0.234,14.32,91.32,701.08
Dimbula Region,DUST,DIM_DUST_003,0.235,14.89,88.33,652.09
Dimbula Region,DUST,DIM_DUST_004,0.236,14.24,92.72,669.38
Dimbula Region,DUST,DIM_DUST_005,0.267,15.51,94.44,683.79
Dimbula Region,DUST,DIM_DUST_006,0.287,16.63,93.69,518.8
Dimbula Region,DUST,DIM_DUST_007,0.24,14.27,93.8,448.2
Dimbula Region,DUST,DIM_DUST_008,0.257,15.54,91.17,600.22
Dimbula Region,DUST,DIM_DUST_009,0.265,15.54,93.6,701.08
Dimbula Region,DUST,DIM_DUST_010,0.283,16.75,92.04,734.22
Dimbula Region,DUST,DIM_DUST_011,0.289,17.27,90.76,922.26
Dimbula Region,DUST,DIM_DUST_012,0.27,16.41,90.05,361.02
Dimbula Region,DUST,DIM_DUST_013,0.204,12.87,90.67,626.16
Dimbula Region,DUST,DIM_DUST_014,0.237,14.76,89.76,752.95
Ruhuna Region,OP,RU_OP_001,0.367,20.1,96.4,783.21
Ruhuna Region,OP,RU_OP_002,0.303,17.09,95.74,689.55
Ruhuna Region,OP,RU_OP_003,0.3,17.1,94.81,915.06
Ruhuna Region,OP,RU_OP_004,0.475,14.74,95.97,1050.5
Ruhuna Region,OP,RU_OP_005,0.259,14.84,96.22,712.61
Ruhuna Region,OP,RU_OP_006,0.435,21.45,96.94,790.42
Ruhuna Region,OP,RU_OP_007,0.2425,13.83,97.67,723.42
Ruhuna Region,OP,RU_OP_008,0.3825,20.52,97.18,783.93
Ruhuna Region,OP,RU_OP_009,0.415,21.88,98.03,975.58
Ruhuna Region,OP,RU_OP_010,0.331,18.15,96.65,485.66
Sabaragamuwa Region,BOPF,SB_BOPF_001,0.346,19.45,94.53,
Sabaragamuwa Region,BOPF,SB_BOPF_002,0.413,22.93,93.96,
Sabaragamuwa Region,BOPF,SB_BOPF_003,0.276,15.78,95.59,
Sabaragamuwa Region,BOPF,SB_BOPF_004,0.293,17.28,91.93,
Sabaragamuwa Region,BOPF,SB_BOPF_005,0.297,17.15,93.75,
Sabaragamuwa Region,BOPF,SB_BOPF_006,0.36,20.25,94.06,
Sabaragamuwa Region,BOPF,SB_BOPF_007,0.33,19.19,91.89,
Sabaragamuwa Region,BOPF,SB_BOPF_008,0.359,19.97,95.12,
Sabaragamuwa Region,BOPF,SB_BOPF_009,0.316,18.17,93.4,
Sabaragamuwa Region,BOPF,SB_BOPF_010,0.348,19.33,95.59,
Ruhuna Region,DUST,Ru_Dust_001,0.387,21.68,93.73,519.52
Ruhuna Region,DUST,Ru_Dust_002,0.326,18.67,93.42,518.08
Ruhuna Region,DUST,Ru_Dust_003,0.396,22.18,93.54,513.04
Ruhuna Region,DUST,Ru_Dust_004,0.327,18.72,93.42,505.12
Ruhuna Region,DUST,Ru_Dust_005,0.29,16.9,93.17,464.77
Dimbula Region,BOPF,DIM_BOPF_001,0.527,29.32,91.83,
Dimbula Region,BOPF,DIM_BOPF_002,0.273,16.69,89.51,
Dimbula Region,BOPF,DIM_BOPF_003,0.274,17.12,87.58,
Dimbula Region,BOPF,DIM_BOPF_004,0.261,16.22,88.65,
Dimbula Region,BOPF,DIM_BOPF_005,0.261,15.57,92.32,
Dimbula Region,BOPF,DIM_BOPF_006,0.308,18.87,87.95,
Dimbula Region,BOPF,DIM_BOPF_007,0.268,16.17,90.98,
Dimbula Region,BOPF,DIM_BOPF_008,0.323,19.4,89.17,
Dimbula Region,BOPF,DIM_BOPF_009,0.379,22.04,90.46,
Dimbula Region,BOPF,DIM_BOPF_010,0.265,16.06,90.69,
Ruhuna Region,BOPF,RU_BOPF_001,0.319,20.3,84.32,
Ruhuna Region,BOPF,RU_BOPF_002,0.454,26.52,88.55,
Ruhuna Region,BOPF,RU_BOPF_003,0.47,26.72,90.71,
Ruhuna Region,BOPF,RU_BOPF_004,0.497,27.97,91.2,
Ruhuna Region,BOPF,RU_BOPF_005,0.38,21.53,92.86,
Ruhuna Region,BOPF,RU_BOPF_006,0.373,20.63,95.28,
Ruhuna Region,BOPF,RU_BOPF_007,0.38,21.63,92.4,
Ruhuna Region,BOPF,RU_BOPF_008,0.414,23.42,92.19,
Ruhuna Region,BOPF,RU_BOPF_009,0.334,18.99,93.83,
Ruhuna Region,BOPF,RU_BOPF_010,0.475,25.99,94.14,
