V,I
-2.15,-0.000431
-2.1,-0.000385
-2.05,-0.00028
-2.0,-0.000243
-1.95,-0.000211
-1.9,-0.000148
-1.85,-9.2e-05
-1.8,-5.5e-05
-1.75,-2.3e-05
-1.7,1.1e-05
-1.65,3.5e-05
-1.6,5.3e-05
-1.55,6.5e-05
-1.5,8.4e-05
-1.45,8.2e-05
-1.4,9.4e-05
-1.35,9.4e-05
-1.3,9.9e-05
-1.25,0.000101
-1.2,0.000106
-1.15,0.000106
-1.1,9.7e-05
-1.05,0.000101
-1.0,9.9e-05
-0.95,9.7e-05
-0.9,9.2e-05
-0.85,0.000101
-0.8,9.7e-05
-0.75,9.9e-05
-0.7,0.000101
-0.65,9.9e-05
-0.6,0.000101
-0.55,0.000104
-0.5,9.9e-05
-0.45,0.000101
-0.4,0.000109
-0.35,0.000106
-0.3,0.000119
-0.25,0.000111
-0.2,0.000116
-0.15,0.000119
-0.1,0.000128
-0.05,0.000136
0.0,0.000128
0.05,0.000138
0.1,0.000138
0.15,0.000141
0.2,0.000153
0.25,0.000165
0.3,0.000172
0.35,0.000182
0.4,0.000189
0.45,0.000194
0.5,0.000209
0.55,0.000221
0.6,0.000219
0.65,0.000231
0.7,0.000243
0.75,0.000241
0.8,0.000255
0.85,0.000268
0.9,0.000275
0.95,0.000285
1.0,0.000299
1.05,0.000309
1.1,0.000319
1.15,0.000338
1.2,0.000353
1.25,0.000353
1.3,0.000373
1.35,0.000382
1.4,0.000395
1.45,0.000417
1.5,0.000453
1.55,0.000473
1.6,0.000505
1.65,0.000541
1.7,0.000566
1.75,0.00071
1.8,0.000742
1.85,0.000776
1.9,0.000815
1.95,0.000864
2.0,0.000898
2.05,0.000927
2.1,0.000952
2.15,0.000932
2.2,0.000935
2.25,0.001142
2.3,0.001167
2.35,0.001172
2.4,0.001145
2.45,0.001118
2.5,0.00125
2.5,0.00125
2.45,0.001098
2.4,0.000998
2.35,0.001079
2.3,0.000959
2.25,0.000852
2.2,0.000771
2.15,0.000832
2.1,0.000737
2.05,0.000649
2.0,0.000568
1.95,0.000605
1.9,0.000534
1.85,0.000466
1.8,0.000402
1.75,0.000348
1.7,0.000299
1.65,0.000258
1.6,0.000246
1.55,0.000209
1.5,0.000172
1.45,0.000131
1.4,8.9e-05
1.35,5.7e-05
1.3,2.8e-05
1.25,-1.1e-05
1.2,-3.3e-05
1.15,-6e-05
1.1,-8.2e-05
1.05,-9.9e-05
1.0,-0.000116
0.95,-0.000136
0.9,-0.000148
0.85,-0.000172
0.8,-0.000207
0.75,-0.000236
0.7,-0.000265
0.65,-0.000299
0.6,-0.000329
0.55,-0.000356
0.5,-0.000378
0.45,-0.000382
0.4,-0.000375
0.35,-0.000368
0.3,-0.000324
0.25,-0.000282
0.2,-0.000248
0.15,-0.000226
0.1,-0.000207
0.05,-0.000199
0.0,-0.000194
-0.05,-0.000185
-0.1,-0.00018
