Region,Grade,Sample Name,Absorbance,Concentration,Dry matter content,Caffiene Content
Dimbula Region,DUST,DIM_DUST_013,0.204,12.87,90.67,626.16
Dimbula Region,BOPF,DIM_BOPF_010,0.265,16.06,90.69,
Dimbula Region,BOPF,DIM_BOPF_009,0.379,22.04,90.46,
Dimbula Region,BOP,DIM_BOP_006,0.294,16.92,94.2,616.79
Dimbula Region,DUST,DIM_DUST_014,0.237,14.76,89.76,752.95
Dimbula Region,DUST,DIM_DUST_007,0.24,14.27,93.8,448.2
Dimbula Region,BOP,DIM_BOP_008,0.306,17.46,94.5,458.29
Dimbula Region,DUST,DIM_DUST_009,0.265,15.54,93.6,701.08
Dimbula Region,DUST,DIM_DUST_008,0.257,15.54,91.17,600.22
Dimbula Region,BOP,DIM_BOP_001,0.264,15.12,96.0,447.48
Dimbula Region,BOPF,DIM_BOPF_002,0.273,16.69,89.51,
Dimbula Region,BOPF,DIM_BOPF_004,0.261,16.22,88.65,
Dimbula Region,DUST,DIM_DUST_005,0.267,15.51,94.44,683.79
Dimbula Region,BOP,DIM_BOP_002,0.389,21.67,94.22,306.27
Dimbula Region,BOPF,DIM_BOPF_006,0.308,18.87,87.95,
Dimbula Region,DUST,DIM_DUST_001,0.257,15.61,90.74,637.68
Dimbula Region,BOP,DIM_BOP_005,0.173,10.36,98.76,656.63
Dimbula Region,DUST,DIM_DUST_004,0.236,14.24,92.72,669.38
Dimbula Region,BOPF,DIM_BOPF_001,0.527,29.32,91.83,
Dimbula Region,BOPF,DIM_BOPF_007,0.268,16.17,90.98,
