Region,Grade,Sample Name,Absorbance,Concentration,Dry matter content,Caffiene Content
Sabaragamuwa Region,BOPF,SAB_BOPF_20870,0.315,16.36,91.87,
Sabaragamuwa Region,BOPF,SAB_BOPF_32487,0.316,14.13,92.28,
Sabaragamuwa Region,BOPF,SAB_BOPF_19787,0.348,19.05,93.94,
Sabaragamuwa Region,BOPF,SAB_BOPF_17713,0.238,21.73,92.57,
Sabaragamuwa Region,BOPF,SAB_BOPF_05927,0.301,19.32,94.3,
Sabaragamuwa Region,BOPF,SAB_BOPF_23040,0.317,17.59,95.43,
Sabaragamuwa Region,BOPF,SAB_BOPF_37218,0.339,19.27,93.98,
Sabaragamuwa Region,BOPF,SAB_BOPF_12994,0.344,18.33,92.38,
Sabaragamuwa Region,BOPF,SAB_BOPF_25685,0.326,15.11,95.66,
Sabaragamuwa Region,BOPF,SAB_BOPF_33416,0.267,19.51,93.34,
Sabaragamuwa Region,BOPF,SAB_BOPF_33368,0.44,17.94,94.23,
Sabaragamuwa Region,BOPF,SAB_BOPF_12707,0.403,21.03,94.15,
Sabaragamuwa Region,BOPF,SAB_BOPF_04407,0.339,20.88,92.1,
Sabaragamuwa Region,BOPF,SAB_BOPF_04735,0.248,20.01,95.57,
Sabaragamuwa Region,BOPF,SAB_BOPF_15714,0.414,15.82,94.13,
Sabaragamuwa Region,BOPF,SAB_BOPF_39645,0.351,21.65,94.04,
Sabaragamuwa Region,BOPF,SAB_BOPF_14983,0.384,20.58,93.2,
Sabaragamuwa Region,BOPF,SAB_BOPF_04397,0.354,15.73,94.49,
Sabaragamuwa Region,BOPF,SAB_BOPF_26871,0.306,19.85,93.49,
Sabaragamuwa Region,BOPF,SAB_BOPF_05924,0.346,20.57,93.0,
Sabaragamuwa Region,BOPF,SAB_BOPF_14009,0.386,18.84,91.04,
Sabaragamuwa Region,BOPF,SAB_BOPF_19615,0.359,20.37,93.34,
Sabaragamuwa Region,BOPF,SAB_BOPF_38043,0.293,18.26,95.04,
Sabaragamuwa Region,BOPF,SAB_BOPF_06668,0.363,18.65,95.28,
Sabaragamuwa Region,BOPF,SAB_BOPF_00414,0.321,20.2,92.3,
Sabaragamuwa Region,BOPF,SAB_BOPF_24955,0.354,19.98,94.65,
Sabaragamuwa Region,BOPF,SAB_BOPF_12705,0.37,17.32,91.93,
Sabaragamuwa Region,BOPF,SAB_BOPF_26918,0.289,21.21,97.05,
Sabaragamuwa Region,BOPF,SAB_BOPF_05472,0.263,21.07,93.42,
Sabaragamuwa Region,BOPF,SAB_BOPF_18672,0.245,19.91,94.76,
Sabaragamuwa Region,BOPF,SAB_BOPF_13440,0.318,19.84,93.96,
Sabaragamuwa Region,BOPF,SAB_BOPF_20005,0.364,17.89,94.96,
Sabaragamuwa Region,BOPF,SAB_BOPF_16227,0.392,16.09,96.21,
Sabaragamuwa Region,BOPF,SAB_BOPF_00701,0.417,18.89,93.3,
Sabaragamuwa Region,BOPF,SAB_BOPF_39225,0.296,16.29,93.42,
Sabaragamuwa Region,BOPF,SAB_BOPF_02144,0.288,18.46,93.07,
Sabaragamuwa Region,BOPF,SAB_BOPF_12579,0.367,19.55,95.23,
Sabaragamuwa Region,BOPF,SAB_BOPF_19977,0.335,20.68,94.0,
Sabaragamuwa Region,BOPF,SAB_BOPF_33885,0.326,18.82,92.94,
Sabaragamuwa Region,BOPF,SAB_BOPF_20180,0.33,18.97,93.68,
Sabaragamuwa Region,BOPF,SAB_BOPF_21454,0.287,18.41,95.41,
Sabaragamuwa Region,BOPF,SAB_BOPF_29615,0.387,21.29,92.93,
