Region,Grade,Sample Name,Absorbance,Concentration
Dimbula Region,DUST,DIM_DUST_013,0.2035,22.387931
Sabaragamuwa Region,BOPF,SB_BOPF_010,0.348,36.20909091
Sabaragamuwa Region,BOPF,SB_BOPF_002,0.413,42.11818182
Dimbula Region,BOP,DIM_BOP_002,0.389,38.3793103
Dimbula Region,BOP,DIM_BOP_009,0.4715,45.4913793
Sabaragamuwa Region,BOPF,SB_BOPF_001,0.346,36.02727273
Sabaragamuwa Region,BOPF,SB_BOPF_008,0.359,37.20909091
Ruhuna Region,OP,RU_OP_008,0.3825,37.8189655
Dimbula Region,DUST,DIM_DUST_010,0.283,29.2413793
Ruhuna Region,OP,RU_OP_006,0.435,42.3448276
Dimbula Region,BOP,DIM_BOP_004,0.373,37.0
Ruhuna Region,OP,RU_OP_002,0.291,29.9310345
Sabaragamuwa Region,BOPF,SB_BOPF_009,0.316,33.3
Ruhuna Region,OP,RU_OP_007,0.2425,25.75
Dimbula Region,DUST,DIM_DUST_008,0.2565,26.9568966
Ruhuna Region,OP,RU_OP_005,0.259,27.1724138
Sabaragamuwa Region,BOPF,SB_BOPF_006,0.36,37.3
Ruhuna Region,OP,RU_OP_004,0.475,45.7931034
